ProxyAddress,ContractBeforeAddress,ContractAfterAddress,RootCauseAfter,IssueDetectedBefore,FixedInAfter,Notes
0xee5ec95ce2c8700a2d152db3249fa13b163f0073,0x96078f94375a81d28013b414b22683e66020eae8,0x7a77231abe02359e0386dfea3b47124e36d44a51,gas-optimized,Uses raw transfer/transferFrom which fails with non-standard ERC-20s,"Yes, replaced with SafeERC20.safeTransfer / safeTransferFrom","Other edits (rebalancer, spelling) are functional/gas tweaks"
0x62faa8937f71b4896f9b250f675ff89a5f6875cc,0xceaca05f3e6920657ab8b682ba35cc9a1d0cea62,0x0065ade80fef8df336241c1a803497a066276331,others,None,None,Minor  refactors; no security significance
0x65f89044f80c370d2a56de50987d81eda1cca3a8,0x94d9d27fd5a40522d1d3df246eed01bbbffa3ffd,0x11779cc448da9b10ba7a0633cb4695fbec511627,others,None,No vulnerability present,Added bookkeeping flags & withdrawProjectUSDC; no security semantics changed
0x60a91e2b7a1568f0848f3d43353c453730082e46,0x4ca459dfc8b1caca3763c954e889e6d644984385,0x41912d95d040ecc7d715e5115173d37e4e7cb24e,gas-optimized,None,None,Minor gas inlines and refactors; no security significance
0x590619f44e1550cccd6f7778ae73947050aec22b,0x929eb8b25f56ef946cbcb01ba1b4f8426570f1a2,0xab0deaa37fbab432246f3bc09aec853e4aee7723,gas-optimized,Public initSetter() gave three unlimited approvals; risk if owner compromised,"Yes, function removed", no security-related edits /gas edits
0xb7019c9184580b2e1f66fcdc3eb6c62621732064,0xfc9268e8c699071c62f63711de06097a4e9d4c36,0x29b06ce31449a9f89719137a705cff395450a415,others,None (already used ReentrancyGuard and SafeERC20),None,Large diff was stylistic
0x069b458cd30252c2d966459843964f48ab2a95f4,0x30f0675931037f80da8dd7fe9de6c28d90aea77c,0xa0ede416ac5fa661f5f8b8bc18f0d440af4ff873,others,Uses raw transfer/transferFrom which fails with non-standard ERC-20s,"Yes, replaced with SafeERC20.safeTransfer / safeTransferFrom",No other security significant changes
0x9f6a09dd0ba23b5ad4234677c831146366678ae3,0x76d20a609a9dc010b9e6d479c360458b19bf3256,0xe3944bef763ebbe4a9d49a7e12cf180c32f427db,others,Uses raw transfer/transferFrom which fails with non-standard ERC-20s,"Yes, replaced with SafeERC20.safeTransfer / safeTransferFrom",
0xe651657fa2355261bbf4037cf6af43825af5da22,0x0f945aa5cbbf6c5d69babfa2bfa13652db87d3a3,0x86ddced632903681d1abb51b215af57bdc3b69df,others,None,None,Only cosmetic
0x70d34880b73a579bedaee155f309a869a3d538eb,0xb3eee32cae9ecc667eb7e33b365696f79b304f0f,0x31ff47d5c0d669c2d31a1658e4e10d9605210289,others,None,None, no security-related edits
