ProxyAddress,ContractBeforeAddress,ContractAfterAddress,Fixed_Vulnerabilities,ReviewA_Label,ReviewB_Label,Final_Label,Justification
0x0f71a936b1b3808e73b43c63c3a4b160b63542a4,0x4ca99304285d9209526bdf359ddeaa6c40369bc1,0x594ebed1e29319e22614b07c026c72ead946a22b,"Gas-Related Issues, SWC-110: Assert Violation, SWC-107: Reentrancy",Yes,No,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Converted assert() to require() with revert message; Imported ReentrancyGuard and reordered state changes before external calls"
0x39c289a3ef68127c272de21f3db67b0cdecdfee1,0xa820c3dc677fe92473eb290880ef47afc86c84f3,0x047fe7f72dc0cc05eecdd183d78084b09658e388,Gas-Related Issues,Yes,No,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x1a50be5dc5dd721f3e337816b23002c9c5e4b812,0x545496300d62c95e9d712b6dd2f010d1c256647f,0x55f56347d4b9368d6229de43329e184a3286953d,"Gas-Related Issues, SWC-101: Integer Overflow and Underflow",Yes,No,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Upgraded to Solidity ^0.8.x with checked arithmetic"
0xcce8e784c777fb9435f89f4e45f8b7fc49f7669f,0xe79850aacd3ad0b50b747837410ae5d7c38d5caa,0x82c623270fb3c4e95a36d35e21a95ff328531dc5,"Gas-Related Issues, SWC-112: Delegatecall to Untrusted Callee",Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Removed delegatecall or whitelisted target contract"
0x5491102015c100f462f42817c68684d5a59fbde7,0x1e501325ed232fd3987a05ef7263899e1da87268,0x80bc58345df2a1b3258b530e50f0f4e701b1178e,"SWC-116: Block values as a proxy for time, Type Safety, Gas-Related Issues, Ownership Transfer Issues",Yes,Yes,Yes,"Time logic moved to TimelockController or validated off-chain; Unsafe abi.encodePacked casts replaced by typed abi.encode; Loops refactored, prefix ++i used, redundant zero-inits removed; Implemented Ownable2Step accept-and-claim flow"
0x1a821b9c9c4277b386cc87fa19aadb8e84ef1b76,0xdd00385f88cbf64b0b598bfef1bb190efe8ca606,0x75ee8597176d843bcf35421e52a533c2d1bcb17d,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x0de2669e8a7a6f6cc0cbd3cf2d1eead89e243208,0x8f499bc97b99ef413bac02545040b701b86d2628,0xc889b800ddaa43d828365a75194a9baf21445111,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x43de2d77bf8027e25dbd179b491e8d64f38398aa,0x24455aa55ded7728783c9474be8ea2f5c935f8eb,0x797161bcc625155d2302251404ccb93c2632658e,"Gas-Related Issues, SWC-133: Hash Collisions With Multiple Variable Length Arguments, SWC-112: Delegatecall to Untrusted Callee, SWC-107: Reentrancy",Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Switched to keccak256(abi.encode()) or added explicit length prefix; Removed delegatecall or whitelisted target contract; Imported ReentrancyGuard and reordered state changes before external calls"
0x6c022bd50aaaf1a851b63da854c660726b25d4ae,0xb8e5beb45daf7f49bce2b0f27d0dc1dc9b47c7b6,0xed9bb4ed0b1397750014c4a0f3e9fd75afdb9832,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x75ce0e501e2e6776fcaaa514f394a88a772a8970,0x8ed237c441a033e9cebf621cacd0ac3371809db8,0xdd0fc21319c4ca133a758f9893028aac834e8493,"Gas-Related Issues, SWC-101: Integer Overflow and Underflow",Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Upgraded to Solidity ^0.8.x with checked arithmetic"
