ProxyAddress,implementations,version,Proxy-Type,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,Human Readable Age
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x9e47eac9b304ac6509398e7c9415536b8d2c6cbf,1,Unknown,1638951733,12/8/21 8:22,1638951733,12/8/21 8:22,1,10360983,FALSE,119.0 days 1323.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0xd6fa2ee9fb1847b861d40e638a7e63f20c4ad5bf,2,Unknown,1649312716,4/7/22 6:25,1649673742,4/11/22 10:42,3,1640664,FALSE,18.0 days 1424.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x1eb2df832c8efddda0bd8bf7d311825c6efae49f,3,Unknown,1650953380,4/26/22 6:09,1650953380,4/26/22 6:09,1,2842600,FALSE,32.0 days 1296.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x92e721c39fe0561f48f03c15e9818f58eff2ddd6,4,Unknown,1653795980,5/29/22 3:46,1653795980,5/29/22 3:46,1,2913,FALSE,48.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x00cc1b8e939e568ce5cda3c7924995fe77141113,5,Unknown,1653798893,5/29/22 4:34,1653798893,5/29/22 4:34,1,-2913,TRUE,1391.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x92e721c39fe0561f48f03c15e9818f58eff2ddd6,6,Unknown,1653795980,5/29/22 3:46,1653795980,5/29/22 3:46,1,28749,FALSE,479.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x3fb75a9cb8ea9586b9261e83317bd1c23fc38f71,7,Unknown,1653824729,5/29/22 11:45,1653824729,5/29/22 11:45,1,-2871349,TRUE,1104.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x1eb2df832c8efddda0bd8bf7d311825c6efae49f,8,Unknown,1650953380,4/26/22 6:09,1650953380,4/26/22 6:09,1,2884967,FALSE,33.0 days 562.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0x3acb9146efc4e15a0876247abdee117501218e06,9,Unknown,1653838347,5/29/22 15:32,1653838347,5/29/22 15:32,1,40964,FALSE,682.0 minutes
0x191b0e61ccbf3b26df76ca4321d9dee4c960e91e,0xc99d7f677208b4c1a19ff4892b8d5be003dcbba2,10,Unknown,1653879311,5/30/22 2:55,1653879311,5/30/22 2:55,1,2091858,FALSE,24.0 days 304.0 minutes
