ProxyAddress,implementations,VersionNumber,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,diff
0x0089081950b4ebbf362689519c1d54827e99d727,0xe6abfcabe24f06197a7a20dc9c81c251f2862430,1,1610683736,1/15/21 4:08,1610683736,1/15/21 4:08,1,5713359,False,66 days 182 minutes
0x0089081950b4ebbf362689519c1d54827e99d727,0xcac49516e6e1c79a62bd67e4d87f7e0d80858258,2,1616397095,3/22/21 7:11,1616397095,3/22/21 7:11,1,74634981,False,863 days 1196 minutes
0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x653498a9e1c98eedaa9733d2d28617ff0e43dc18,1,1614772370,3/3/21 11:52,1614772370,3/3/21 11:52,1,402770,False,4 days 952 minutes
0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x4102109981d59c1491fc0faa2d40ba93a4d63fcb,2,1615175140,3/8/21 3:45,1615175140,3/8/21 3:45,1,706296,False,8 days 251 minutes
0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x525a0cd0c00477744e18881d4ba59674556f2743,3,1615881436,3/16/21 7:57,1671791699,12/23/22 10:34,2,75150640,False,869 days 1150 minutes
0x089a502032166e07ae83eb434c16790ca2fa4661,0x0ee919007d2682f4a64308d6399ae0a34909fcb4,1,1610952072,1/18/21 6:41,1618927127,4/20/21 13:58,2,-359515,True,1208 minutes
0x089a502032166e07ae83eb434c16790ca2fa4661,0x7c1b4184c388eb3198f7b93e2b3a169f0d853c95,2,1610592557,1/14/21 2:49,1610965752,1/18/21 10:29,3,80439519,False,931 days 18 minutes
0x0a4f4e92c3334821ebb523324d09e321a6b0d8ec,0xec26cd6748d5ad5295e404717d3b8612f9f742b9,1,1620430733,5/7/21 23:38,1620430733,5/7/21 23:38,1,8324,False,138 minutes
0x0a4f4e92c3334821ebb523324d09e321a6b0d8ec,0x96b3f82782a62e4dccb236f86665c550f6c0b6c0,2,1620439057,5/8/21 1:57,1620439057,5/8/21 1:57,1,70593019,False,817 days 70 minutes
0x0b6a5f2ebc5e1bd38a4ec6a90844f45901e5b843,0xedb53b9b0d1df560a1c15a8fc05edebfb97a27c5,1,1647348698,3/15/22 12:51,1647348757,3/15/22 12:52,3,111,False,1 minutes
0x0b6a5f2ebc5e1bd38a4ec6a90844f45901e5b843,0xcd283dfd87f5a5765adccbc9be053e07f8d85505,2,1647348809,3/15/22 12:53,1647348995,3/15/22 12:56,3,2053,False,34 minutes
0x0b6a5f2ebc5e1bd38a4ec6a90844f45901e5b843,0x00c3253d317cca7bf3f038288e61f14a9e3af8b2,3,1647350862,3/15/22 13:27,1647350862,3/15/22 13:27,1,391,False,6 minutes
0x0b6a5f2ebc5e1bd38a4ec6a90844f45901e5b843,0xa6c1d33837376f600e2f096d70356914255e29e6,4,1647351253,3/15/22 13:34,1647351253,3/15/22 13:34,1,85,False,1 minutes
0x0b6a5f2ebc5e1bd38a4ec6a90844f45901e5b843,0x76676e63c53f81938d5dd8fafa8540ca860ae926,5,1647351338,3/15/22 13:35,1647351338,3/15/22 13:35,1,71,False,1 minutes
0x0b6a5f2ebc5e1bd38a4ec6a90844f45901e5b843,0xbc74fbe07e89b83399dc1dd2fb2c61ec7b94879e,6,1647351409,3/15/22 13:36,1647351542,3/15/22 13:39,3,43680667,False,505 days 811 minutes
0x0b9020d4e32990d67559b1317c7bf0c15d6eb88f,0x46ca157573005281774be9be9a4187cce4ec1871,1,1598436988,8/26/20 10:16,1598436988,8/26/20 10:16,1,6842188,False,79 days 276 minutes
0x0b9020d4e32990d67559b1317c7bf0c15d6eb88f,0x62d7e87677ac7e3bd02c198e3fabeffdbc5eb2a3,2,1605279176,11/13/20 14:52,1605279176,11/13/20 14:52,1,85752900,False,992 days 735 minutes
0x0df016fb18ef4195b2cf9d8623e236272ec52e14,0x8ff34db172e29dd08745f4c9c318a4256c2adeef,1,1649027839,4/3/22 23:17,1649029286,4/3/22 23:41,3,23398,False,389 minutes
0x0df016fb18ef4195b2cf9d8623e236272ec52e14,0xc70cc2f1c5ee6a03f639246eec815abc6435742e,2,1649051237,4/4/22 5:47,1655234251,6/14/22 19:17,2,41980839,False,485 days 1280 minutes
0x0fabaf48bbf864a3947bdd0ba9d764791a60467a,0x49ca9eca607c8483a2b4f955631de2119ac15b74,1,1618989931,4/21/21 7:25,1618989931,4/21/21 7:25,1,601351,False,6 days 1382 minutes
0x0fabaf48bbf864a3947bdd0ba9d764791a60467a,0x5907c9a2ff421be53556be7fa1b5a2d90a187dfd,2,1619591282,4/28/21 6:28,1619591282,4/28/21 6:28,1,620523,False,7 days 262 minutes
0x0fabaf48bbf864a3947bdd0ba9d764791a60467a,0xfe8cf701b0751f840741655213da2b46d8995fd1,3,1620211805,5/5/21 10:50,1620211805,5/5/21 10:50,1,11329439,False,131 days 183 minutes
0x0fabaf48bbf864a3947bdd0ba9d764791a60467a,0x38556ec4a14c63bf0d7576cffdc6ed2a467c6550,4,1631541244,9/13/21 13:54,1631541244,9/13/21 13:54,1,11881,False,198 minutes
0x0fabaf48bbf864a3947bdd0ba9d764791a60467a,0x00a62ee3d2998f67cc202990b792573961d282e6,5,1631553125,9/13/21 17:12,1631583179,9/14/21 1:32,3,8697689,False,100 days 961 minutes
