ProxyAddress,implementations,VersionNumber,Findings,new-Vul,fix-Vul,matched_filename,new-feature,deleted-feature,gas,Optimization,Root-Cause
0x00000000000311612d792d1162841b3b63dbb64f,0xbdeb2862d5f80dae2667a103aa99d7d90aa0b247,1,no source code,V1,V1,,V1,V1,1741964.0,V1,V1
0x00000000000311612d792d1162841b3b63dbb64f,0x5501e89829f14a805970b758a12ad6ed36db46c3,2,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,1737291.0,Optimized,gas-optimized
0x0000000000771a79d0fc7f3b7fe270eb4498f20b,0x39430d2baa879f864a8c703d107596136153e4ec,1,Exception_State_SWC_110,V1,V1,/Users/elyhabaro/Desktop/FStudy/SVC/source/SingleFileFolders2/3/0x39430d2baa879f864a8c703d107596136153e4ec-MctXenftController/MctXenftController.sol,V1,V1,2588565.0,V1,V1
0x0000000000771a79d0fc7f3b7fe270eb4498f20b,0x93a787da129b6ba21b969c326c38fbc9ea618f87,2,no source code,no source code,Exception_State_SWC_110,,no new feature,", _disableInitializers, _setSlotEmpty, add, functionCallWithValue, batchClaimRankWithGenerateNft, isOwner, ownerOf, getApproved, mod, predictDeterministicAddress, toHexString, name, functionStaticCall, claimRank, _mint, setApprovalForAll, tryDiv, addressFrom, _removeTokenFromAllTokensEnumeration, trySub, approve, tokenOfOwnerByIndex, isContract, _requireMinted, _baseURI, sub, tryMul, balanceOf, getExecuteAddressByNft, toString, toHexStringNoPrefix, _afterTokenTransfer, tokenByIndex, userMints, initializeV2, _safeTransfer, div, functionCall, _transfer, _setOwner, onERC721Received, verifyCallResult, isApprovedForAll, claimByNft, mintInfoByTokenOwnerIndex, safeTransferFrom, generateSVGImage, decodeMintInfo, _removeTokenFromOwnerEnumeration, _burn, _exists, callByData, mul, functionDelegateCall, totalSupply, withdraw, _approve, encodeMintInfo, _beforeTokenTransfer, supportsInterface, _addTokenToAllTokensEnumeration, _addTokenToOwnerEnumeration, _checkOnERC721Received, changeOwner, claimMintRewardAndShare, setSvgGenerater, sendValue, _msgData, mintInfo, initialize, tokenURI, encode, toU256, tryMod, _isApprovedOrOwner, tryAdd, claimMintReward, symbol, _msgSender, _safeMint, _setApprovalForAll, rebatchClaimRankByNft, transferFrom",2680629.0,Not Optimized,fix-vulnerability
0x0000000000771a79d0fc7f3b7fe270eb4498f20b,0xb94d339e26a931d27c2e8cd8009bc83f49261cc2,3,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,2679561.0,Optimized,gas-optimized
0x0000000000a0aa7908bda39fbb8f95e5a0a6ee42,0x0000000000ffe8b47b3e2130213b802212439497,1,"assembly,locked_ether,solc_version",V1,V1,/Users/elyhabaro/Desktop/FStudy/SVC/source/SingleFileFolders2/1/0x0000000000ffe8b47b3e2130213b802212439497-ImmutableCreate2Factory/ImmutableCreate2Factory.sol,V1,V1,,V1,V1
0x0000000000a0aa7908bda39fbb8f95e5a0a6ee42,0xa2748a783cdf6ed2aaa81f5460cbf757f5a813c7,2,no source code,no source code,"solc_version, assembly, locked_ether",,no new feature,"hasBeenDeployed, safeCreate2, findCreate2AddressViaHash, findCreate2Address",,Not Optimized,fix-vulnerability
0x0000000000e1a557866afcd0fb267154610ed354,0x00000000eea1063109439f6c35863338b956d68e,2,no source code,V1,V1,,V1,V1,,V1,V1
0x0000000000e1a557866afcd0fb267154610ed354,0x3872740a33ddca0eb3f12e0dad15de19562fa417,3,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,,Not Optimized,others
0x00000000829ee7b0116e17405c125da2f49577e6,0x75a3054959ef997bdea0f284ca5f781726fa197c,2,no source code,,,,,,,V1,"fix-vulnerability,new-feature"
0x000000b2e18954817a1291098484c29848c19c13,0xe583acb4280bd382d4db73961995a0b26563d2ea,2,no source code,V1,V1,,V1,V1,84317.0,V1,V1
0x000000b2e18954817a1291098484c29848c19c13,0x8aa3731bfe4a42bbda5fc60624bacc80650a1f0a,3,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,84965.0,Not Optimized,others
0x000000b2e18954817a1291098484c29848c19c13,0xbd14e707a7bdba3f838aa76ca0cc70f20d9502d5,4,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,81701.0,Optimized,gas-optimized
0x000000b2e18954817a1291098484c29848c19c13,0x970c7f5b272f66cad4dae8b15a317f775c002058,5,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,1033900.0,Not Optimized,others
0x000b2bbb8f5f483783c00702b4f8b784a80f0c62,0xc55dc12d0c5450785460a2f086dac236e75bcdfe,1,no source code,V1,V1,,V1,V1,,V1,V1
0x000b2bbb8f5f483783c00702b4f8b784a80f0c62,0x1c282c7bac89ad6c04655d18dd7f7ae092d6fb59,2,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,,Not Optimized,others
0x00182fdb0b880ee24d428e3cc39383717677c37e,0x311abb81dee5de777980e635c33df2ef79974dc7,1,no source code,V1,V1,,V1,V1,3962431.0,V1,V1
0x00182fdb0b880ee24d428e3cc39383717677c37e,0x8be9542d314f5ae0c995998a6665a0732fc01915,2,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,3953115.0,Optimized,gas-optimized
0x00182fdb0b880ee24d428e3cc39383717677c37e,0x76eed2e2e25860bc7912e0647a73a5baf7b624fa,3,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,3960287.0,Not Optimized,others
0x00182fdb0b880ee24d428e3cc39383717677c37e,0xaea7b7dd60308e2c8d01e7bfcbb676781a58a23c,4,no source code,no new-vul,no fixed-vul,,no new feature,no deleted feature,4053102.0,Not Optimized,others
