Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x6580c9f9a330cf2501d7d15ac396491419799b6d, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,impl: address
0xb6df5b7e761f7476263ebb4e4ba2862e9e892fd7, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
0xb6df5b7e761f7476263ebb4e4ba2862e9e892fd7, EIP-1967: Proxy Logic Storage Slots,2022,BeaconUpgraded,beacon: address
0xb6df5b7e761f7476263ebb4e4ba2862e9e892fd7, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,implementation: address
0x43078abfb76bd24885fd64effb22049f92a8c495, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
0x43078abfb76bd24885fd64effb22049f92a8c495, EIP-1967: Proxy Logic Storage Slots,2022,BeaconUpgraded,beacon: address
0x43078abfb76bd24885fd64effb22049f92a8c495, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,implementation: address
0x9752072fa16e1467f2832c236e512a35392ef4f9, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
0x9752072fa16e1467f2832c236e512a35392ef4f9, EIP-1967: Proxy Logic Storage Slots,2022,BeaconUpgraded,beacon: address
0x9752072fa16e1467f2832c236e512a35392ef4f9, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,implementation: address
0x9108f99235f0133acfcde9c338ad6dc9d0bb7805, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
0x9108f99235f0133acfcde9c338ad6dc9d0bb7805, EIP-1967: Proxy Logic Storage Slots,2022,BeaconUpgraded,beacon: address
0x9108f99235f0133acfcde9c338ad6dc9d0bb7805, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,implementation: address
0x15c6880d2dac04cbbe7d062c563587e77b6818c8, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
0x15c6880d2dac04cbbe7d062c563587e77b6818c8, EIP-1967: Proxy Logic Storage Slots,2022,BeaconUpgraded,beacon: address
0x15c6880d2dac04cbbe7d062c563587e77b6818c8, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,implementation: address
0xe381d632be4b5c4011211cdf3aeaca2e112f77ca, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
0xe381d632be4b5c4011211cdf3aeaca2e112f77ca, EIP-1967: Proxy Logic Storage Slots,2022,BeaconUpgraded,beacon: address
0xe381d632be4b5c4011211cdf3aeaca2e112f77ca, EIP-1967: Proxy Logic Storage Slots,2022,Upgraded,implementation: address
0x025bbdfb894949b557db775032e8c2946447d8d4, EIP-1967: Proxy Logic Storage Slots,2022,AdminChanged,"previousAdmin: address, newAdmin: address"
